text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"On 05 July 2024 at 00:02, an incident occurred at Dockyard South. The incident was reported by Frankie Lee. Foreign object in eye from grinding debris crane failure caused a steel beam to drop to ship propeller. Peyton Graham from the Warehouse department was involved."
"The incident was reported by Harper Parker. On 12 April 2024 at 12:59, an incident occurred at Tool Crib. Hydraulic fluid spill contaminated paint shop. Morgan Davis from the IT department was involved. Fractured ankle due to fall from scaffolding"
"Rowan Walker from the Finance department was involved. On 05 February 2024 at 06:24, an incident occurred at Dockyard South. Hydraulic fluid spill contaminated paint shop. The incident was reported by Taylor Smith. Chemical burn from solvent exposure"
"The incident was reported by Riley Robinson. Morgan West from the Research & Development department was involved. On 29 June 2025 at 17:25, an incident occurred at Fleet Garage. Burn from hot welding equipment Hydraulic fluid spill contaminated paint shop."
"grinder failure caused a fuel leak to ship propeller. Minor cuts and bruises The incident was reported by Sydney Graham. Jesse Ward from the Legal department was involved. On 10 February 2025 at 07:32, an incident occurred at Maintenance Shed."
"Fractured ankle due to fall from scaffolding Taylor Cooper from the Facilities department was involved. crane failure caused a steel beam to drop to ship propeller. The incident was reported by Kai Bailey. On 21 June 2024 at 15:15, an incident occurred at Warehouse A."
"Crush injury to hand from hydraulic press The incident was reported by Jordan Johnson. On 01 October 2024 at 00:38, an incident occurred at Engineering Workshop. Structural collapse in shipyard warehouse due to improper maintenance. Alex Brown from the IT department was involved."
"The incident was reported by Skyler Holmes. On 06 March 2024 at 06:23, an incident occurred at Dry Dock 2. forklift failure caused a fuel leak to storage area. Chris Payne from the Environmental Services department was involved. Minor cuts and bruises"
"Puncture wound from misplaced tool Drew Graham from the Training & Development department was involved. The incident was reported by Peyton Allen. Oil spill contaminated paint shop. On 04 December 2024 at 16:02, an incident occurred at Electrical Bay."
"The incident was reported by Avery Morgan. Crush injury to hand from hydraulic press Dakota Reed from the Health & Safety department was involved. On 12 May 2024 at 13:58, an incident occurred at Maintenance Shed. Hydraulic fluid spill contaminated engine room."
"The incident was reported by Elliot Allen. Hydraulic fluid spill contaminated dock area. On 23 June 2025 at 05:09, an incident occurred at Warehouse A. Back strain from improper lifting Jamie Lewis from the IT department was involved."
"The incident was reported by Riley Cooper. Taylor Foster from the Warehouse department was involved. Trip hazard fall resulting in bruising Structural collapse in shipyard warehouse due to corrosion. On 19 August 2025 at 05:38, an incident occurred at Cafeteria."
"forklift failure caused a fuel leak to storage area. On 05 April 2024 at 06:34, an incident occurred at Dockyard North. Dakota Foster from the Customer Service department was involved. The incident was reported by Skyler Payne. Fractured ankle due to fall from scaffolding"
"The incident was reported by Elliot Johnson. On 01 July 2024 at 22:24, an incident occurred at Engineering Workshop. grinder failure caused electrical fire to dry dock floor. Minor cuts and bruises Reese Parker from the Dockyard Operations department was involved."
"Structural collapse in dry dock due to overload. On 05 May 2025 at 15:04, an incident occurred at Paint Shop. Quinn Cooper from the Finance department was involved. Smoke inhalation from fire in electrical bay The incident was reported by Alex Kennedy."
"The incident was reported by Reese Lewis. Structural collapse in pier due to overload. Eye irritation from chemical fumes On 21 March 2024 at 01:52, an incident occurred at Electrical Bay. Logan Holmes from the Logistics department was involved."
"forklift failure caused electrical fire to dry dock floor. Reese Allen from the Procurement department was involved. Eye irritation from chemical fumes On 21 December 2024 at 12:34, an incident occurred at Fuel Depot. The incident was reported by Jesse Payne."
"Chemicals spill contaminated paint shop. The incident was reported by Riley Ward. Crush injury to hand from hydraulic press Spencer Graham from the Health & Safety department was involved. On 05 April 2024 at 15:18, an incident occurred at Reception Area."
"On 05 May 2025 at 09:47, an incident occurred at Electrical Bay. The incident was reported by Morgan Foster. Heat exhaustion from prolonged outdoor work Frankie Pearson from the Customer Service department was involved. Structural collapse in shipyard warehouse due to overload."
"On 19 April 2025 at 01:42, an incident occurred at Reception Area. Crush injury to hand from hydraulic press The incident was reported by Chris Brown. Structural collapse in shipyard warehouse due to improper maintenance. Alex Murray from the Warehouse department was involved."
"Dislocated shoulder during equipment maintenance The incident was reported by Spencer Murphy. grinder failure caused a fuel leak to dry dock floor. On 02 January 2024 at 06:27, an incident occurred at Dry Dock 2. Riley Cooper from the Quality Assurance department was involved."
"Puncture wound from misplaced tool The incident was reported by Jordan Foster. grinder failure caused a fuel leak to dry dock floor. On 16 February 2025 at 09:30, an incident occurred at Main Gate Security. Morgan Brown from the Security department was involved."
"The incident was reported by Harper Robinson. Structural collapse in dry dock due to corrosion. Elliot Bailey from the Training & Development department was involved. Back strain from improper lifting On 18 June 2025 at 14:07, an incident occurred at Fuel Depot."
"Alex West from the Customer Service department was involved. Hydraulic fluid spill contaminated paint shop. The incident was reported by Casey Bailey. On 05 July 2025 at 16:12, an incident occurred at Cafeteria. Hearing damage from loud machinery"
"Chemical burn from solvent exposure forklift failure caused a fuel leak to dry dock floor. Riley Morgan from the Procurement department was involved. On 22 February 2024 at 04:48, an incident occurred at Warehouse A. The incident was reported by Drew Ward."
"The incident was reported by Frankie Parker. On 14 January 2024 at 07:42, an incident occurred at Warehouse A. crane failure caused a steel beam to drop to ship propeller. Compressed air injury during maintenance Avery Parker from the Dockyard Operations department was involved."
"Chemicals spill contaminated engine room. Laceration from sharp metal panel On 17 September 2024 at 02:51, an incident occurred at Maintenance Shed. The incident was reported by Quinn Kennedy. Charlie Bailey from the Procurement department was involved."
"Laceration from sharp metal panel The incident was reported by Avery Murphy. On 08 July 2024 at 22:41, an incident occurred at Training Room. Skyler Lewis from the Fleet Management department was involved. Oil spill contaminated dock area."
"On 15 July 2024 at 19:00, an incident occurred at Dry Dock 2. The incident was reported by Blake Davis. Back strain from improper lifting Casey Lee from the HR department was involved. Structural collapse in pier due to overload."
"On 06 June 2024 at 00:54, an incident occurred at Fleet Garage. The incident was reported by Spencer Smith. Oil spill contaminated paint shop. Foreign object in eye from grinding debris Quinn Robinson from the Health & Safety department was involved."
"Charlie Robinson from the Ship Maintenance department was involved. Chemicals spill contaminated dock area. The incident was reported by Morgan West. Smoke inhalation from fire in electrical bay On 24 November 2024 at 14:53, an incident occurred at Reception Area."
"The incident was reported by Emerson Bennett. Trip hazard fall resulting in bruising crane failure caused electrical fire to storage area. On 08 April 2025 at 13:28, an incident occurred at Shipyard Pier. Finley Fisher from the Training & Development department was involved."
"On 17 January 2024 at 15:45, an incident occurred at Office - Admin Block. forklift failure caused a fuel leak to storage area. Smoke inhalation from fire in electrical bay Elliot Bennett from the Operations department was involved. The incident was reported by Morgan Sullivan."
"On 12 April 2024 at 11:13, an incident occurred at Engineering Workshop. Structural collapse in shipyard warehouse due to corrosion. Burn from hot welding equipment The incident was reported by Sydney Bailey. Avery Johnson from the Legal department was involved."
"Frankie Hughes from the Warehouse department was involved. On 19 February 2025 at 22:23, an incident occurred at Paint Shop. The incident was reported by Chris Foster. Structural collapse in pier due to corrosion. Crush injury to hand from hydraulic press"
"Structural collapse in dry dock due to overload. On 10 February 2025 at 21:24, an incident occurred at Engineering Workshop. The incident was reported by Skyler Foster. Back strain from improper lifting Chris Kennedy from the Communications department was involved."
"Laceration from sharp metal panel Structural collapse in pier due to corrosion. Sawyer Reed from the Security department was involved. The incident was reported by Cameron Fisher. On 20 August 2025 at 04:22, an incident occurred at Reception Area."
"Hearing damage from loud machinery The incident was reported by Emerson Walker. On 01 January 2025 at 10:55, an incident occurred at Dry Dock 2. Oil spill contaminated paint shop. Dakota Foster from the Research & Development department was involved."
"Harper Fisher from the Warehouse department was involved. On 25 July 2025 at 00:10, an incident occurred at Cafeteria. Compressed air injury during maintenance The incident was reported by Finley Lee. crane failure caused electrical fire to ship propeller."
"Structural collapse in shipyard warehouse due to improper maintenance. Alex Lee from the Environmental Services department was involved. On 01 May 2025 at 00:05, an incident occurred at IT Server Room. Smoke inhalation from fire in electrical bay The incident was reported by Jamie Murphy."
"Hearing damage from loud machinery The incident was reported by Quinn Morgan. On 27 June 2024 at 01:59, an incident occurred at Electrical Bay. Logan Graham from the Operations department was involved. forklift failure caused a fuel leak to dry dock floor."
"Peyton Morgan from the Dockyard Operations department was involved. Laceration from sharp metal panel The incident was reported by Kai Reed. Structural collapse in dry dock due to overload. On 01 August 2025 at 02:58, an incident occurred at Reception Area."
"Chris Ward from the Engineering department was involved. Concussion from falling object The incident was reported by Drew Sullivan. On 16 July 2024 at 12:42, an incident occurred at Reception Area. Oil spill contaminated paint shop."
"On 03 March 2025 at 20:28, an incident occurred at Dry Dock 1. Avery Murray from the Environmental Services department was involved. The incident was reported by Spencer Robinson. Oil spill contaminated dock area. Electric shock from faulty wiring"
"Chemicals spill contaminated paint shop. Crush injury to hand from hydraulic press Finley Morgan from the Health & Safety department was involved. On 07 May 2025 at 05:04, an incident occurred at Dockyard South. The incident was reported by Casey West."
"The incident was reported by Reese Parker. Spencer Hughes from the Environmental Services department was involved. forklift failure caused a fuel leak to storage area. Concussion from falling object On 25 February 2025 at 02:37, an incident occurred at Electrical Bay."
"Frankie Davis from the Dockyard Operations department was involved. Puncture wound from misplaced tool crane failure caused a steel beam to drop to storage area. On 21 February 2024 at 00:59, an incident occurred at Main Gate Security. The incident was reported by Harper Kennedy."
"Chemicals spill contaminated dock area. The incident was reported by Logan West. On 12 February 2025 at 08:44, an incident occurred at Engineering Workshop. Cameron West from the Warehouse department was involved. Trip hazard fall resulting in bruising"
"On 05 January 2024 at 09:37, an incident occurred at Warehouse A. Structural collapse in shipyard warehouse due to overload. Minor cuts and bruises The incident was reported by Sydney Bailey. Dakota Johnson from the Health & Safety department was involved."
"The incident was reported by Cameron Smith. Structural collapse in dry dock due to corrosion. Compressed air injury during maintenance Emerson Bailey from the HR department was involved. On 07 April 2024 at 05:03, an incident occurred at Dry Dock 2."
"Structural collapse in pier due to corrosion. On 22 March 2025 at 05:37, an incident occurred at Office - Admin Block. Puncture wound from misplaced tool The incident was reported by Avery West. Casey Lewis from the Facilities department was involved."
"Heat exhaustion from prolonged outdoor work Elliot Smith from the Legal department was involved. On 14 May 2024 at 14:20, an incident occurred at Paint Shop. The incident was reported by Spencer Bennett. Structural collapse in shipyard warehouse due to corrosion."
"Morgan Holmes from the Communications department was involved. On 04 August 2025 at 23:44, an incident occurred at Engineering Workshop. Chemical burn from solvent exposure Structural collapse in shipyard warehouse due to improper maintenance. The incident was reported by Elliot Cooper."
"On 26 September 2024 at 23:16, an incident occurred at Reception Area. Crush injury to hand from hydraulic press Hydraulic fluid spill contaminated paint shop. The incident was reported by Emerson Robinson. Avery Hughes from the Procurement department was involved."
"The incident was reported by Casey Ward. On 21 January 2024 at 08:48, an incident occurred at Dry Dock 2. Structural collapse in pier due to corrosion. Back strain from improper lifting Sydney Fisher from the HR department was involved."
"grinder failure caused electrical fire to storage area. Heat exhaustion from prolonged outdoor work The incident was reported by Harper Davis. Elliot Payne from the Training & Development department was involved. On 13 August 2024 at 00:22, an incident occurred at Fuel Depot."
"Sydney Reed from the Legal department was involved. The incident was reported by Alex Cooper. crane failure caused a steel beam to drop to dry dock floor. On 07 April 2024 at 19:24, an incident occurred at Dry Dock 1. Compressed air injury during maintenance"
"Concussion from falling object The incident was reported by Rowan Murphy. Structural collapse in pier due to improper maintenance. On 08 September 2024 at 13:23, an incident occurred at Office - Admin Block. Chris Reed from the Communications department was involved."
"On 19 April 2024 at 23:53, an incident occurred at Paint Shop. Oil spill contaminated engine room. Skyler Graham from the Fleet Management department was involved. Fractured wrist from fall on wet surface The incident was reported by Jamie Hughes."
"Rowan Sullivan from the Customer Service department was involved. The incident was reported by Avery Fisher. On 16 July 2024 at 08:49, an incident occurred at Fleet Garage. Hydraulic fluid spill contaminated dock area. Crush injury to hand from hydraulic press"
"On 22 March 2024 at 13:06, an incident occurred at Dry Dock 2. The incident was reported by Chris Clark. Emerson Lee from the Training & Development department was involved. Fractured wrist from fall on wet surface Hydraulic fluid spill contaminated paint shop."
"On 28 February 2025 at 21:24, an incident occurred at Reception Area. Structural collapse in shipyard warehouse due to corrosion. Logan Ward from the HR department was involved. The incident was reported by Spencer Robinson. Electric shock from faulty wiring"
"Chemicals spill contaminated paint shop. Heat exhaustion from prolonged outdoor work On 30 April 2025 at 14:09, an incident occurred at Maintenance Shed. Morgan Sullivan from the Dockyard Operations department was involved. The incident was reported by Harper Ward."
"Foreign object in eye from grinding debris Structural collapse in dry dock due to overload. Harper Payne from the Operations department was involved. The incident was reported by Rowan Allen. On 30 April 2025 at 13:45, an incident occurred at Fuel Depot."
"The incident was reported by Finley Bennett. Logan Clark from the Logistics department was involved. Hearing damage from loud machinery grinder failure caused a steel beam to drop to ship propeller. On 18 March 2024 at 11:39, an incident occurred at Cafeteria."
"Compressed air injury during maintenance Frankie Allen from the Health & Safety department was involved. The incident was reported by Sydney Davis. On 27 February 2024 at 02:40, an incident occurred at Reception Area. Hydraulic fluid spill contaminated engine room."
"forklift failure caused a fuel leak to storage area. Avery Parker from the Training & Development department was involved. The incident was reported by Charlie Lee. Dislocated shoulder during equipment maintenance On 21 January 2024 at 14:31, an incident occurred at Electrical Bay."
"On 01 May 2025 at 13:27, an incident occurred at Fuel Depot. Foreign object in eye from grinding debris The incident was reported by Emerson Pearson. forklift failure caused a fuel leak to dry dock floor. Jesse Johnson from the Ship Maintenance department was involved."
"The incident was reported by Kai Bennett. Charlie Lewis from the HR department was involved. Electric shock from faulty wiring On 28 March 2025 at 07:49, an incident occurred at Warehouse B. grinder failure caused electrical fire to ship propeller."
"The incident was reported by Frankie Cooper. Dislocated shoulder during equipment maintenance Chris Sullivan from the Facilities department was involved. On 29 January 2025 at 12:57, an incident occurred at Paint Shop. Oil spill contaminated engine room."
"Structural collapse in pier due to corrosion. The incident was reported by Jordan Parker. Blake Reed from the Environmental Services department was involved. Foreign object in eye from grinding debris On 29 July 2025 at 19:06, an incident occurred at Dockyard North."
"Morgan Hughes from the Communications department was involved. The incident was reported by Jamie Brown. Compressed air injury during maintenance On 28 February 2024 at 04:45, an incident occurred at Warehouse A. Structural collapse in dry dock due to improper maintenance."
"Finley Murray from the Customer Service department was involved. On 30 April 2025 at 01:13, an incident occurred at IT Server Room. The incident was reported by Elliot Lewis. Oil spill contaminated dock area. Chemical burn from solvent exposure"
"Morgan Lee from the Logistics department was involved. Structural collapse in dry dock due to corrosion. The incident was reported by Emerson Smith. Eye irritation from chemical fumes On 23 March 2025 at 07:38, an incident occurred at Engineering Workshop."
"The incident was reported by Reese Morgan. Rowan Hughes from the Logistics department was involved. On 01 May 2025 at 19:28, an incident occurred at Shipyard Pier. Concussion from falling object Structural collapse in shipyard warehouse due to overload."
"On 18 January 2024 at 04:06, an incident occurred at Fleet Garage. Rowan Payne from the HR department was involved. The incident was reported by Riley Bailey. Concussion from falling object Structural collapse in dry dock due to overload."
"Structural collapse in dry dock due to improper maintenance. On 09 February 2024 at 05:57, an incident occurred at Main Gate Security. Heat exhaustion from prolonged outdoor work Harper Clark from the Ship Maintenance department was involved. The incident was reported by Alex Brown."
"Frankie Kennedy from the IT department was involved. The incident was reported by Harper Smith. Chemical burn from solvent exposure Structural collapse in pier due to corrosion. On 16 August 2025 at 21:35, an incident occurred at Dockyard North."
"Sawyer Murray from the Quality Assurance department was involved. The incident was reported by Kai Bailey. Heat exhaustion from prolonged outdoor work Structural collapse in shipyard warehouse due to overload. On 09 January 2025 at 17:11, an incident occurred at Electrical Bay."
"Oil spill contaminated dock area. Riley Morgan from the Health & Safety department was involved. On 18 February 2024 at 08:06, an incident occurred at Fuel Depot. Heat exhaustion from prolonged outdoor work The incident was reported by Riley Brown."
"On 15 May 2024 at 00:09, an incident occurred at Fleet Garage. The incident was reported by Alex Pearson. Jordan Murphy from the Research & Development department was involved. Eye irritation from chemical fumes grinder failure caused electrical fire to storage area."
"Emerson Murphy from the Fleet Management department was involved. On 16 March 2025 at 23:56, an incident occurred at Fuel Depot. Eye irritation from chemical fumes Chemicals spill contaminated paint shop. The incident was reported by Skyler Ward."
"Structural collapse in dry dock due to corrosion. Heat exhaustion from prolonged outdoor work On 16 January 2024 at 21:54, an incident occurred at Dry Dock 2. The incident was reported by Rowan Sullivan. Elliot Mitchell from the Dockyard Operations department was involved."
"On 14 January 2025 at 00:27, an incident occurred at Main Gate Security. Puncture wound from misplaced tool Rowan Lewis from the Ship Maintenance department was involved. The incident was reported by Blake Robinson. Chemicals spill contaminated engine room."
"Concussion from falling object grinder failure caused a steel beam to drop to storage area. The incident was reported by Alex Graham. On 30 September 2024 at 17:16, an incident occurred at Engineering Workshop. Finley Bailey from the HR department was involved."
"Skyler Holmes from the Communications department was involved. On 18 June 2024 at 09:23, an incident occurred at Office - Admin Block. crane failure caused a fuel leak to storage area. The incident was reported by Jamie Ward. Heat exhaustion from prolonged outdoor work"
"Concussion from falling object On 11 February 2025 at 13:40, an incident occurred at Warehouse A. Alex Fisher from the Security department was involved. grinder failure caused a fuel leak to dry dock floor. The incident was reported by Taylor Reed."
"Heat exhaustion from prolonged outdoor work The incident was reported by Morgan Cooper. Blake Brown from the Environmental Services department was involved. crane failure caused electrical fire to ship propeller. On 26 August 2024 at 23:39, an incident occurred at Fuel Depot."
"The incident was reported by Avery Johnson. On 15 March 2024 at 04:31, an incident occurred at Maintenance Shed. Hydraulic fluid spill contaminated engine room. Logan Brown from the Ship Maintenance department was involved. Foreign object in eye from grinding debris"
"On 23 July 2024 at 09:02, an incident occurred at Dry Dock 2. The incident was reported by Finley Walker. Fractured wrist from fall on wet surface Harper Davis from the Logistics department was involved. grinder failure caused a fuel leak to dry dock floor."
"The incident was reported by Casey Foster. Crush injury to hand from hydraulic press Structural collapse in pier due to corrosion. On 21 May 2024 at 10:59, an incident occurred at Dry Dock 2. Alex Fisher from the Dockyard Operations department was involved."
"Chemical burn from solvent exposure Sawyer Mitchell from the Operations department was involved. The incident was reported by Emerson Cooper. On 06 March 2025 at 04:05, an incident occurred at Dockyard North. Oil spill contaminated dock area."
"Oil spill contaminated dock area. On 26 January 2024 at 18:24, an incident occurred at Training Room. The incident was reported by Harper Murray. Dislocated shoulder during equipment maintenance Riley Kennedy from the Facilities department was involved."
"Hydraulic fluid spill contaminated engine room. Charlie Murphy from the Engineering department was involved. The incident was reported by Rowan Graham. Chemical burn from solvent exposure On 01 August 2025 at 22:55, an incident occurred at Electrical Bay."
"The incident was reported by Sawyer Morgan. Elliot Graham from the Ship Maintenance department was involved. forklift failure caused a steel beam to drop to storage area. Minor cuts and bruises On 21 March 2025 at 11:12, an incident occurred at Office - Admin Block."
"Reese Ward from the Fleet Management department was involved. The incident was reported by Chris Walker. On 08 July 2024 at 13:58, an incident occurred at IT Server Room. Hydraulic fluid spill contaminated engine room. Smoke inhalation from fire in electrical bay"
"Jordan Pearson from the Environmental Services department was involved. Concussion from falling object On 20 August 2025 at 09:08, an incident occurred at Maintenance Shed. The incident was reported by Frankie Holmes. grinder failure caused electrical fire to ship propeller."
"The incident was reported by Jamie Holmes. Hearing damage from loud machinery Taylor Bailey from the Quality Assurance department was involved. Hydraulic fluid spill contaminated paint shop. On 31 October 2024 at 16:01, an incident occurred at Training Room."
"Structural collapse in shipyard warehouse due to corrosion. The incident was reported by Finley Lee. On 27 January 2025 at 01:11, an incident occurred at Reception Area. Chris Brown from the Quality Assurance department was involved. Compressed air injury during maintenance"
"The incident was reported by Jordan Johnson. Spencer West from the HR department was involved. Smoke inhalation from fire in electrical bay On 12 July 2025 at 04:36, an incident occurred at Office - Admin Block. Oil spill contaminated paint shop."
"Dislocated shoulder during equipment maintenance On 04 March 2025 at 01:35, an incident occurred at Fuel Depot. The incident was reported by Dakota Lewis. Taylor Ward from the Procurement department was involved. grinder failure caused a fuel leak to dry dock floor."
"On 12 August 2024 at 12:09, an incident occurred at Tool Crib. The incident was reported by Sawyer West. crane failure caused a fuel leak to dry dock floor. Emerson Kennedy from the IT department was involved. Fractured wrist from fall on wet surface"
"Logan Graham from the HR department was involved. Dislocated shoulder during equipment maintenance Structural collapse in shipyard warehouse due to overload. On 14 December 2024 at 00:53, an incident occurred at Training Room. The incident was reported by Jesse Davis."
"Harper Brown from the Research & Development department was involved. Structural collapse in shipyard warehouse due to corrosion. Burn from hot welding equipment The incident was reported by Spencer Graham. On 18 February 2024 at 17:12, an incident occurred at IT Server Room."
"Avery Pearson from the Facilities department was involved. Crush injury to hand from hydraulic press On 09 October 2024 at 16:02, an incident occurred at Dockyard North. The incident was reported by Quinn Parker. Oil spill contaminated dock area."
"Heat exhaustion from prolonged outdoor work On 24 October 2024 at 03:59, an incident occurred at Electrical Bay. Reese Holmes from the Finance department was involved. The incident was reported by Morgan Walker. Structural collapse in dry dock due to overload."
"Crush injury to hand from hydraulic press The incident was reported by Jamie Hughes. On 20 February 2024 at 02:23, an incident occurred at Dockyard South. crane failure caused a fuel leak to dry dock floor. Spencer Foster from the Operations department was involved."
"Hydraulic fluid spill contaminated paint shop. On 12 July 2025 at 12:36, an incident occurred at Office - Admin Block. Severe abrasion from slip on deck The incident was reported by Taylor Sullivan. Frankie Murray from the Environmental Services department was involved."
"Smoke inhalation from fire in electrical bay crane failure caused a fuel leak to ship propeller. Chris Bailey from the Fleet Management department was involved. On 03 July 2025 at 02:21, an incident occurred at Maintenance Shed. The incident was reported by Drew Hughes."
"Structural collapse in dry dock due to corrosion. The incident was reported by Rowan Parker. Taylor Smith from the IT department was involved. On 14 February 2025 at 11:33, an incident occurred at Dry Dock 1. Burn from hot welding equipment"
"Foreign object in eye from grinding debris Structural collapse in dry dock due to corrosion. The incident was reported by Emerson Parker. On 06 December 2024 at 20:52, an incident occurred at Electrical Bay. Finley Fisher from the Research & Development department was involved."
"The incident was reported by Finley Clark. Concussion from falling object Drew Pearson from the Ship Maintenance department was involved. On 13 July 2025 at 20:45, an incident occurred at Reception Area. Chemicals spill contaminated engine room."
"Dislocated shoulder during equipment maintenance Frankie West from the Ship Maintenance department was involved. The incident was reported by Jesse Holmes. Hydraulic fluid spill contaminated dock area. On 13 February 2025 at 07:39, an incident occurred at Maintenance Shed."
"On 01 October 2024 at 05:39, an incident occurred at Dockyard South. Structural collapse in pier due to improper maintenance. The incident was reported by Logan Pearson. Cameron Bailey from the Facilities department was involved. Hearing damage from loud machinery"
"Puncture wound from misplaced tool On 11 March 2025 at 00:18, an incident occurred at Cafeteria. The incident was reported by Quinn Reed. Drew Foster from the Fleet Management department was involved. Chemicals spill contaminated engine room."
"Structural collapse in shipyard warehouse due to improper maintenance. Hearing damage from loud machinery Skyler Johnson from the Customer Service department was involved. The incident was reported by Emerson Bennett. On 26 May 2025 at 12:05, an incident occurred at Dockyard South."
"Cameron Ward from the Operations department was involved. The incident was reported by Dakota Bailey. Structural collapse in shipyard warehouse due to improper maintenance. Trip hazard fall resulting in bruising On 08 August 2025 at 13:47, an incident occurred at Warehouse B."
"Trip hazard fall resulting in bruising Morgan Clark from the Engineering department was involved. On 04 August 2025 at 04:10, an incident occurred at IT Server Room. The incident was reported by Skyler Lewis. Hydraulic fluid spill contaminated dock area."
"The incident was reported by Finley Walker. Charlie Murphy from the Customer Service department was involved. On 07 July 2025 at 14:50, an incident occurred at Main Gate Security. Chemicals spill contaminated dock area. Crush injury to hand from hydraulic press"
"The incident was reported by Peyton Payne. Finley Pearson from the Finance department was involved. On 12 March 2024 at 08:46, an incident occurred at Training Room. Structural collapse in dry dock due to corrosion. Eye irritation from chemical fumes"
"On 11 April 2024 at 02:28, an incident occurred at Cafeteria. Chemicals spill contaminated dock area. Harper Sullivan from the Finance department was involved. Dislocated shoulder during equipment maintenance The incident was reported by Charlie Hughes."
"Severe abrasion from slip on deck The incident was reported by Avery Reed. Elliot Bennett from the Security department was involved. Structural collapse in shipyard warehouse due to overload. On 11 July 2024 at 17:34, an incident occurred at Dry Dock 1."
"Back strain from improper lifting Chemicals spill contaminated engine room. Logan Clark from the Engineering department was involved. On 25 June 2024 at 04:35, an incident occurred at Training Room. The incident was reported by Elliot Parker."
"Charlie Payne from the Security department was involved. On 28 March 2025 at 03:49, an incident occurred at Engineering Workshop. The incident was reported by Cameron Hughes. grinder failure caused electrical fire to dry dock floor. Puncture wound from misplaced tool"
"On 16 October 2024 at 21:31, an incident occurred at Maintenance Shed. The incident was reported by Peyton Graham. Oil spill contaminated dock area. Skyler Murphy from the Warehouse department was involved. Concussion from falling object"
"Structural collapse in pier due to overload. Reese Ward from the Customer Service department was involved. Fractured wrist from fall on wet surface The incident was reported by Quinn Holmes. On 18 May 2025 at 01:52, an incident occurred at Paint Shop."
"Blake Fisher from the Security department was involved. Structural collapse in pier due to improper maintenance. Compressed air injury during maintenance The incident was reported by Avery Walker. On 08 June 2025 at 22:43, an incident occurred at Paint Shop."
"Fractured ankle due to fall from scaffolding Chemicals spill contaminated paint shop. On 23 March 2024 at 05:04, an incident occurred at Engineering Workshop. The incident was reported by Rowan Walker. Skyler Bailey from the Environmental Services department was involved."
"forklift failure caused electrical fire to ship propeller. Eye irritation from chemical fumes Taylor Johnson from the Legal department was involved. The incident was reported by Dakota Cooper. On 28 May 2025 at 20:18, an incident occurred at IT Server Room."
"Skyler Kennedy from the Engineering department was involved. crane failure caused a steel beam to drop to storage area. Dislocated shoulder during equipment maintenance The incident was reported by Riley Murphy. On 05 August 2024 at 04:24, an incident occurred at Shipyard Pier."
"forklift failure caused a steel beam to drop to dry dock floor. The incident was reported by Drew Brown. Sawyer Kennedy from the Customer Service department was involved. On 10 January 2025 at 18:33, an incident occurred at Fuel Depot. Crush injury to hand from hydraulic press"
"Reese Smith from the Engineering department was involved. On 17 June 2025 at 07:43, an incident occurred at Maintenance Shed. Structural collapse in dry dock due to overload. The incident was reported by Alex Robinson. Chemical burn from solvent exposure"
"Foreign object in eye from grinding debris The incident was reported by Peyton Bennett. On 25 September 2024 at 09:36, an incident occurred at Dockyard North. Emerson Clark from the Facilities department was involved. Structural collapse in pier due to overload."
"On 07 April 2025 at 22:26, an incident occurred at Cafeteria. Minor cuts and bruises Avery Graham from the Facilities department was involved. Hydraulic fluid spill contaminated paint shop. The incident was reported by Chris Foster."
"On 31 October 2024 at 08:51, an incident occurred at Warehouse A. Cameron Murphy from the HR department was involved. Structural collapse in pier due to improper maintenance. Fractured wrist from fall on wet surface The incident was reported by Emerson Fisher."
"Laceration from sharp metal panel grinder failure caused a fuel leak to ship propeller. Elliot Kennedy from the Ship Maintenance department was involved. The incident was reported by Drew Clark. On 23 February 2024 at 04:22, an incident occurred at Engineering Workshop."
"Oil spill contaminated engine room. The incident was reported by Finley West. Compressed air injury during maintenance On 17 March 2025 at 13:26, an incident occurred at Electrical Bay. Morgan Ward from the Environmental Services department was involved."
"On 04 March 2024 at 04:21, an incident occurred at Engineering Workshop. The incident was reported by Taylor Davis. Riley Brown from the HR department was involved. Hearing damage from loud machinery Structural collapse in dry dock due to improper maintenance."
"Chemicals spill contaminated dock area. On 14 July 2025 at 12:58, an incident occurred at Dry Dock 2. Chemical burn from solvent exposure The incident was reported by Sydney Morgan. Charlie Davis from the Customer Service department was involved."
"Peyton Lee from the Research & Development department was involved. Compressed air injury during maintenance Chemicals spill contaminated engine room. On 02 July 2024 at 19:52, an incident occurred at Engineering Workshop. The incident was reported by Jesse Reed."
